Ahmedabad- Gujarat- India,270,88,11//
Amarillo Area- TX- United States of America,706,258,22//
Austin Area- TX- United States of America,17416,2324,618//
Baltimore- MD- United States of America,5733,994,408//
Bangor- Lewiston & Portland- ME- United States of America,665,271,46//
Barcelona Metropolitan Area- Catalonia,6653,922,151//
Berlin- Germany,1791,448,334//
Bogotá- D.C.- Cundinamarca- Colombia,7911,1080,339//
Boston Area- MA- United States of America,16551,1410,992//
Boulder- CO- United States of America,3475,786,107//
Bristol & Bath City Region- Somerset / Gloucestershire- United Kingdom,9518,1135,333//
Buenos Aires- Argentina,170,96,18//
Cádiz- Andalusia- Spain,2154,709,25//
Campo Grande- Mato Grosso do Sul- Brazil,444,252,13//
Charlottesville- VA- United States of America,387,250,32//
Chicago Wilderness Region- IL- United States of America,6869,1017,353//
Cleveland- OH- United States of America,6636,1111,329//
Curitiba- Paraná- Brazil,857,275,40//
Dallas/Fort Worth Area- TX- United States of America,34218,2560,815//
Denver Metro Area- CO- United States of America,4811,847,310//
Duluth and Surrounding Area (Twin Ports)- MN- United States of America,896,267,38//
El Paso- TX- United States of America,302,141,17//
Florianópolis- Santa Catarina- Brazil,233,111,15//
Greater Concord - Cabarrus County- NC- United States of America,6956,1100,217//
Guimarães- Norte- Portugal,238,112,105//
Hermosillo- Sonora- Mexico,702,264,40//
Hong Kong SAR- China,20268,2932,755//
Houston Area- TX- United States of America,22490,3088,699//
Indianapolis- IN- United States of America,3707,630,237//
Klang Valley/Greater Kuala Lumpur- Selangor- Malaysia,25287,1775,682//
La Plata City- Buenos Aires- Argentina,270,147,18//
London- Greater London- United Kingdom,2621,737,106//
Los Angeles County- CA- United States of America,19423,2356,855//
Lower Rio Grande Valley- TX- United States of America,8755,1660,194//
Madrid Metropolitan Area- Madrid- Spain,6805,778,144//
Manaus- Amazonas- Brazil,908,347,29//
Maui- HI- United States of America,223,145,13//
Miami- FL- United States of America,3758,913,199//
Minneapolis/St. Paul- MN- United States of America,3376,491,336//
Monterrey - Zona Metropolitana- Nuevo León- Mexico,8447,1463,128//
Mumbai- Maharashtra- India,1038,260,20//
Nashville- TN- United States of America,1661,558,137//
New York City- NY- United States of America,22003,1427,507//
Omaha Metro- NE- United States of America,1931,384,188//
Padova- Italy,737,248,46//
Palmer Station- Antarctica- United States of America,36,27,3//
Pittsburgh- PA- United States of America,4386,929,164//
Plymouth- Devon- United Kingdom,581,277,16//
Prague- Czech Republic,1616,438,61//
Raleigh (Triangle Area)- NC- United States of America,9271,1641,311//
Richmond- VA- United States of America,1186,445,93//
Rio de Janeiro- Brazil,289,78,16//
Rome- Italy,1032,300,26//
Salvador- Bahia- Brazil,220,52,6//
San Antonio Area- TX- United States of America,3524,957,172//
San Diego County- CA- United States of America,33448,2946,1211//
San Francisco Bay Area- CA- United States of America,41737,3211,1532//
São Paulo- Brazil,2521,462,156//
Seattle Metropolitan Area- WA- United States of America,5841,1033,358//
Southern Oregon- OR- United States of America,469,286,34//
Lake Charles/Southwest Louisiana- LA- United States of America,2277,866,58//
St. Louis City & MSA Region- MO- United States of America,10482,1100,642//
The Wasatch Front (Salt Lake City)- UT- United States of America,3621,643,197//
Tokyo- Japan,2428,474,148//
Tulsa Region- OK- United States of America,1114,575,102//
Vancouver- British Columbia- Canada,795,322,43//
Washington- D.C. Metro Area- United States of America,22800,1856,872//
Waterloo Region- Ontario- Canada,2574,433,87//
