City Nature Challenge 2018 Ahmedabad; India,270,68,11//
City Nature Challenge 2018 Indianapolis,3714,556,239//
City Nature Challenge 2018: Amarillo,732,238,22//
City Nature Challenge 2018: Austin,17702,2125,638//
City Nature Challenge 2018: Baltimore,5850,912,411//
City Nature Challenge 2018: Barcelona,5766,866,144//
City Nature Challenge 2018: Berlin,1571,401,289//
City Nature Challenge 2018: Boston Area,16575,1187,996//
City Nature Challenge 2018: Boulder,3502,735,108//
City Nature Challenge 2018: Bristol & Bath,9536,1038,305//
City Nature Challenge 2018: Buenos Aires y alrededores,170,83,18//
City Nature Challenge 2018: Cabarrus County; NC,6958,1009,217//
City Nature Challenge 2018: CÃ¡diz,1992,602,22//
City Nature Challenge 2018: Campo Grande,445,216,13//
City Nature Challenge 2018: Charlottesville,388,215,32//
City Nature Challenge 2018: Chicago Wilderness Region,6900,928,358//
City Nature Challenge 2018: Cleveland,6668,1028,337//
City Nature Challenge 2018: Curitiba,860,169,41//
City Nature Challenge 2018: Dallas/Fort Worth,34847,2312,816//
City Nature Challenge 2018: Denver Metro Area,4821,767,313//
City Nature Challenge 2018: El Paso,304,112,17//
City Nature Challenge 2018: FlorianÃ_polis,233,68,15//
City Nature Challenge 2018: Hermosillo,703,219,40//
City Nature Challenge 2018: Hong Kong,20342,2673,757//
City Nature Challenge 2018: Houston,22581,2871,704//
City Nature Challenge 2018: La Plata,271,106,18//
City Nature Challenge 2018: London,2624,643,107//
City Nature Challenge 2018: Los Angeles,19404,2097,810//
City Nature Challenge 2018: Lower Rio Grande Valley,8760,1507,195//
City Nature Challenge 2018: Madrid,6274,700,139//
City Nature Challenge 2018: Manaus,908,285,29//
City Nature Challenge 2018: Maui,224,127,13//
City Nature Challenge 2018: Miami,3820,811,200//
City Nature Challenge 2018: Minneapolis/St. Paul,3358,433,339//
City Nature Challenge 2018: Monterrey Zona Metropolitana,8459,1258,129//
City Nature Challenge 2018: Mumbai,1038,225,20//
City Nature Challenge 2018: Nashville,1676,490,137//
City Nature Challenge 2018: New York City,22078,1312,511//
City Nature Challenge 2018: Omaha Metro,1933,329,188//
City Nature Challenge 2018: Padova,737,215,46//
City Nature Challenge 2018: Palmer Station; Antarctica,36,25,3//
City Nature Challenge 2018: Pittsburgh,4393,847,165//
City Nature Challenge 2018: Plymouth (UK),583,243,16//
City Nature Challenge 2018: Prague,1620,396,62//
City Nature Challenge 2018: Richmond,1187,385,94//
City Nature Challenge 2018: Rio de Janeiro,288,57,16//
City Nature Challenge 2018: Roma,226,106,36//
City Nature Challenge 2018: Rome,402,0,26//
City Nature Challenge 2018: Salvador,220,31,6//
City Nature Challenge 2018: San Antonio,3535,884,173//
City Nature Challenge 2018: San Diego County,33637,2685,1221//
City Nature Challenge 2018: San Francisco Bay Area,42166,2953,1561//
City Nature Challenge 2018: Seattle Metropolitan Area,5892,935,364//
City Nature Challenge 2018: Sevilla,0,0,0//
City Nature Challenge 2018: SÃ£o Paulo,2536,378,158//
City Nature Challenge 2018: Southern Oregon,471,255,34//
City Nature Challenge 2018: Southwest Louisiana,2282,813,59//
City Nature Challenge 2018: St. Louis; MO,10534,1013,646//
City Nature Challenge 2018: The Wasatch,3634,538,199//
City Nature Challenge 2018: Tokyo,2438,426,148//
City Nature Challenge 2018: Triangle Area,9256,1435,313//
City Nature Challenge 2018: Tulsa,1119,517,102//
City Nature Challenge 2018: Twin Ports,897,248,38//
City Nature Challenge 2018: Vancouver; British Columbia,800,283,45//
City Nature Challenge 2018: Washington; DC metro area,22823,1678,877//
City Nature Challenge 2018: Waterloo Region,2578,379,88//
City Nature Challenge Maine 2018,665,220,46//
Klang Valley City Nature Challenge 2018,25317,1576,685//
Reto Naturalista Urbano 2018: BogotÃ¡; D.C.,7946,900,342//
