project url,City,State/Province,Country,City Organizer(s),Collaborating Organizations//
www.inaturalist.org/projects/city-nature-challenge-2018-ahmedabad-india,Ahmedabad,Gujarat,India,Ahmedabad University,//
www.inaturalist.org/projects/city-nature-challenge-2018-amarillo,Amarillo Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists- Audubon Texas- City of Houston- City of Grapevine- 12 Hills Nature Center- City of Dallas- Blackland Prairie Conservatory and Atelier-  City of Arlington- City of Burleson- City of Fort Worth//
www.inaturalist.org/projects/city-nature-challenge-2018-austin,Austin Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists- Audubon Texas- City of Houston- City of Grapevine- 12 Hills Nature Center- City of Dallas- Blackland Prairie Conservatory and Atelier-  City of Arlington- City of Burleson- City of Fort Worth//
natusfera.gbif.es/projects/cnc-2018-cadiz,Bahía de Cádiz,Andalusia,Spain,,//
www.inaturalist.org/projects/city-nature-challenge-2018-baltimore,Baltimore,Maryland,United States of America,National Aquarium,Baltimore City Green Schools- Baltimore City Recreation & Parks (BCRP)- Baltimore Ecosystem Study (BES)- Chesapeake Bay Environmental Center (CBEC)- Chesapeake Bay Foundation (CBF)- Columbia Families in Nature- Greater Baltimore Wilderness Coalition (GBWC)- Maryland Park Service- Maryland Zoo- The Nature Conservancy (TNC)- Parks & People Foundation- Smithsonian Environmental Research Center (SERC)- TreeBaltimore- University of Baltimore (UB)- University of Maryland Baltimore County (UMBC)//
www.inaturalist.org/projects/city-nature-challenge-maine-2018,Bangor & Portland,Maine,United States of America,Maine Science Festival,//
natusfera.gbif.es/projects/biomarato-barcelona-cnc-2018,Barcelona Metropolitan Area,Catalonia,Catalonia,CREAF and CSIC,Ajuntament de Barcelona- Diputació de Barcelona- Anèlides- Universitat Autònoma de Barcelona- Ajuntament de Santa Coloma de Gramanet- Ajuntament de Sant Adrià de Besòs//
,Berlin,Berlin,Germany,The Museum für Naturkunde,//
naturalista.biodiversidad.co/projects/reto-naturalista-urbano-2018-bogota-d-c,Bogotá- D.C.,Cundinamarca,Colombia,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt Colombia,//
www.inaturalist.org/projects/city-nature-challenge-2018-boston-area,Boston,Massachusetts,United States of America,Encyclopedia of Life- Brandeis University,//
www.inaturalist.org/projects/city-nature-challenge-2018-boulder,Boulder,Colorado,United States of America,Wild Boulder,City of Boulder- the WILD Foundation- and Boulder County//
www.inaturalist.org/projects/city-nature-challenge-2018-bristol-bath,Bristol & Bath City Region,Somerset / Gloucestershire,United Kingdom,"Bristol Natural History Consortium- European Citizen Science Association
",//
,Buenos Aires,Buenos Aires,Argentina,,//
www.inaturalist.org/projects/city-nature-challenge-2018-campo-grande,Campo Grande,Mato Grosso do Sul,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-charlottesville,Charlottesville,Virginia,United States of America,The Nature Conservancy,//
www.inaturalist.org/projects/city-nature-challenge-2018-chicago-wilderness-region,Chicago Wilderness Region,Illinois,United States of America,,Habitat 2030- Shedd Aquarium//
www.inaturalist.org/projects/city-nature-challenge-2018-vancouver-british-columbia,City of Vancouver,British Columbia,Canada,Vancouver Board of Parks and Recreation,//
www.inaturalist.org/projects/city-nature-challenge-2018-cleveland,Cleveland,Ohio,United States of America,Cleveland Museum of Natural History,Lake Erie Allegheny Partnership- University of Mount Union Huston-Brumbaugh Nature Center- Seton Catholic School- Tinkers Creek Watershed Partners//
www.inaturalist.org/projects/city-nature-challenge-2018-curitiba,Curitiba,Paraná,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-dallas-fort-worth,Dallas/Fort Worth Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists- Audubon Texas- City of Houston- City of Grapevine- 12 Hills Nature Center- City of Dallas- Blackland Prairie Conservatory and Atelier-  City of Arlington- City of Burleson- City of Fort Worth//
www.inaturalist.org/projects/city-nature-challenge-2018-denver-metro-area,Denver Metro Area,Colorado,United States of America,Colorado Parks and Wildlife,The Nature Conservancy- City and County of Denver- Jefferson County//
www.inaturalist.org/projects/city-nature-challenge-2018-twin-ports,Duluth and Surrounding Area,Minnesota,United States of America,Lake Superior Regional Citizen Science Collaborative (LSRCSC),//
www.inaturalist.org/projects/city-nature-challenge-2018-el-paso,El Paso,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists- Audubon Texas- City of Houston- City of Grapevine- 12 Hills Nature Center- City of Dallas- Blackland Prairie Conservatory and Atelier-  City of Arlington- City of Burleson- City of Fort Worth//
www.inaturalist.org/projects/city-nature-challenge-2018-florianopolis,Florianópolis,Santa Catarina,Brazil,Universidade Federal Rural do Rio de Janeiro,//
