Project URL,City,State/Province,Country,City Organizer(s),Collaborating Organizations - pending//
#,Ahmedabad,Gujarat,India,Ahmedabad University,…//
#,Albuquerque,New Mexico,USA,University of New Mexico; Geography & Environmental Studies,…//
#,Alexandria,Virginia,USA,Napoli,…//
#,Alexandria/Pineville,Louisiana,USA,Cenla (Central La) Master Naturalists,…//
#,Amarillo,Texas,USA,Texas Master Naturalist,…//
#,Ann Arbor,Michigan,USA,City of Ann Arbor,…//
#,Atlanta,Georgia,USA,Fernbank Museum of Natural History,…//
#,Austin,Texas,USA,Texas Master Naturalist,…//
#,Baltimore,Maryland,USA,National Aquarium,…//
#,Barcelona,Barcelona,Catalonia,CREAF-UAB; ICM-CSIC,…//
#,Birmingham,Alabama,USA,Alabama Museum of Natural History,…//
#,Blacksburg,Virginia,USA,Town of Blacksburg,…//
#,Bogotá ,Cundinamarca,Colombia,Humboldt Institute,…//
#,Boston,Massachusetts,USA,Encyclopedia of Life; Harvard University; Zoo New England,…//
#,Boulder,Colorado,USA,WILD Foundation,…//
#,Brasilia,Distrito Federal,Brazil,ICMBio,…//
#,Bristol & Bath City Region,Somerset / Gloucestershire,United Kingdom,The Natural History Consortium,…//
#,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,GBIF Argentina; Museo Argentino de Ciencias Naturales MACN-CONICET,…//
#,Calgary,Alberta,Canada,University of Calgary,…//
#,Cancún,Quintana Roo,México,Naturalista / CONABIO,…//
#,Canton,Ohio,USA,Stark Parks,…//
#,Catania,CT,Italy,Ente Fauna Marina Mediterranea,…//
#,Cd. Victoria,Tamaulipas,Mexico,Comision de Parques y Biodiversidad deL Estado de Tamaulipas,…//
#,CDMX,Ciudad de México,México,CONABIO,…//
#,Charlotte Metro Region,North Carolina,USA,North Carolina Wildlife Federation; City of Concord; NC; Cabarrus County Active Living and Parks,…//
#,Charlottesville,Virginia,USA,The Nature Conservancy Virginia Chapter,…//
#,Chiayi,Chiayi,Taiwan,Department of Biological Resources. National Chiayi University,…//
#,Chicago Wilderness Region,Illinois,USA,Whimbrel Birders Club; Department of Geography and Environmental Studies; Northeastern Illinois University        ,…//
#,Chihuahua,Chihuahua,MEXICO,Naturalista/CONABIO,…//
#,Cleveland,Ohio,USA,Cleveland Museum of Natural History,…//
#,Colorado Springs,Colorado,USA,City of Colorado Springs - Parks; Recreation and Cultural Services Department,…//
#,Concepción,BioBio,Chile,Universidad de Concepción,…//
#,Coppell,Texas,USA,Biodiersity Education Center,…//
#,Corpus Christi,Texas,USA,City of Corpus Christi; Oso Bay Wetlands Preserve,…//
#,Dallas/Fort Worth,Texas,USA,Texas Parks and Wildlife,…//
#,Davis; CA,California,USA,UC Davis; UC Agriculture and Natural Resources - California Naturalist program,…//
#,Denver,Colorado,USA,Colorado Parks and Wildlife,…//
#,Duluth,Minnesota,USA,Minnesota Sea Grant,…//
#,El Paso,Texas,USA,Texas Parks & Wildlife,…//
#,Ensenada,Baja California,Mexico,Fauna del Noroeste; A.C.,…//
#,Eugene-Springfield,Oregon,USA,The Nature Conservancy - Oregon Chapter,…//
#,Fort Collins,Colorado,USA,City of Fort Collins Natural Areas Dept - Nature in the City Program,…//
#,Georgetown    ,Penang,Malaysia,The Habitat Penang Hill,…//
#,Golden,Colorado,USA,Compass Montessori High School,…//
#,Hermosillo,Sonora,Mexico,Naturalista-CONABIO,…//
#,Houston,Texas,USA,Texas Parks & Wildlife,…//
#,Indianapolis,Indiana,USA,Indiana Sciences,…//
#,Karlovac,Karlovac,Croatia,Amateur Scientist NGO,…//
#,Kuala Lumpur / Klang Valley Metro,Selangor,Malaysia,Rimba Ilmu Botanic Garden; The Rimba Project,…//
