Project URL,City,State/Province,Country,City Organizer(s),Collaborating Organizations//
www.inaturalist.org/projects/city-nature-challenge-2018-ahmedabad-india,Ahmedabad,Gujarat,India,Ahmedabad University,//
www.inaturalist.org/projects/city-nature-challenge-2018-amarillo,Amarillo Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier;  City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas//
www.inaturalist.org/projects/city-nature-challenge-2018-austin,Austin Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier;  City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas//
http://natusfera.gbif.es/projects/cnc-2018-cadiz,Bahía de Cádiz,Andalusia,Spain,,//
www.inaturalist.org/projects/city-nature-challenge-2018-baltimore,Baltimore,Maryland,United States of America,National Aquarium,Baltimore City Green Schools; Baltimore City Recreation & Parks (BCRP); Baltimore Ecosystem Study (BES); Chesapeake Bay Environmental Center (CBEC); Chesapeake Bay Foundation (CBF); Columbia Families in Nature; Greater Baltimore Wilderness Coalition (GBWC); Maryland Park Service; Maryland Zoo; National Environmental Education Foundation (NEEF); The Nature Conservancy (TNC); Parks & People Foundation; Samsung; Smithsonian Environmental Research Center (SERC); TreeBaltimore; University of Baltimore (UB); University of Maryland Baltimore County (UMBC); USDA Forest Service//
www.inaturalist.org/projects/city-nature-challenge-maine-2018,Bangor & Portland,Maine,United States of America,Maine Science Festival,//
http://natusfera.gbif.es/projects/biomarato-barcelona-cnc-2018,Barcelona Metropolitan Area,Catalonia,Catalonia,CREAF and CSIC,Ajuntament de Barcelona; Diputació de Barcelona; Anèlides; Universitat Autònoma de Barcelona; Ajuntament de Santa Coloma de Gramanet; Ajuntament de Sant Adrià de Besòs//
https://www.museumfuernaturkunde.berlin/de/mitmachen/buergerwissenschaften/sei-teil-der-city-nature-challenge-2018-berlin,Berlin,Berlin,Germany,The Museum für Naturkunde,//
http://naturalista.biodiversidad.co/projects/reto-naturalista-urbano-2018-bogota-d-c,Bogotá- D.C.,Cundinamarca,Colombia,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Universidad del Bosque; Museo de Ciencias Universidad del Bosque; Fundación Dodo; Jardín Botánico de Bogotá; Gimnasio Femenino; Red de Colegios de los Cerros de Bogotá; Fundación Cerros de Bogotá; Red de Sembradores de Teusaquillo; Grupo Ecomunitario; Parque Distrital Entrenubes; Grupo Ecomunitario//
www.inaturalist.org/projects/city-nature-challenge-2018-boston-area,Boston,Massachusetts,United States of America,Encyclopedia of Life- Brandeis University,//
www.inaturalist.org/projects/city-nature-challenge-2018-boulder,Boulder,Colorado,United States of America,Wild Boulder,City of Boulder; the WILD Foundation; and Boulder County//
www.inaturalist.org/projects/city-nature-challenge-2018-bristol-bath,Bristol & Bath City Region,Somerset / Gloucestershire,United Kingdom,"Bristol Natural History Consortium; European Citizen Science Association
",//
www.inaturalist.org/projects/city-nature-challenge-2018-buenos-aires-y-alrededores,Buenos Aires,Buenos Aires,Argentina,"Museo Argentino de Ciencias Naturales ""Bernardino Rivadavia""",//
www.inaturalist.org/projects/city-nature-challenge-2018-campo-grande,Campo Grande,Mato Grosso do Sul,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-charlottesville,Charlottesville,Virginia,United States of America,The Nature Conservancy,//
www.inaturalist.org/projects/city-nature-challenge-2018-chicago-wilderness-region,Chicago Wilderness Region,Illinois,United States of America,Habitat 2030,Shedd Aquarium; Chicago Ornithological Society; Chicago Academy of Sciences / Peggy Notebaert Nature Museum; Student Conservation Association; Lincoln Park Zoo//
www.inaturalist.org/projects/city-nature-challenge-2018-cleveland,Cleveland,Ohio,United States of America,Cleveland Museum of Natural History,Lake Erie Allegheny Partnership; University of Mount Union Huston-Brumbaugh Nature Center; Seton Catholic School; Tinkers Creek Watershed Partners; Stark Parks; Western Reserve Land Conservancy; Watershed Volunteer Program (Cleveland Metroparks); Case Western Reserve University//
www.inaturalist.org/projects/city-nature-challenge-2018-curitiba,Curitiba,Paraná,Brazil,Universidade Federal Rural do Rio de Janeiro,//
www.inaturalist.org/projects/city-nature-challenge-2018-dallas-fort-worth,Dallas/Fort Worth Area,Texas,United States of America,Texas Parks and Wildlife,Texas Master Naturalists; Audubon Texas; City of Houston; City of Grapevine; 12 Hills Nature Center; City of Dallas; Blackland Prairie Conservatory and Atelier;  City of Arlington; City of Burleson; City of Fort Worth; Houston Audubon; Katy Prairie Conservancy; Native Prairie Association of Texas; Houston Arboretum and Nature Center; City of Austin; Heard Museum; University of North Texas; University of Texas - Dallas//
www.inaturalist.org/projects/city-nature-challenge-2018-denver-metro-area,Denver Metro Area,Colorado,United States of America,Colorado Parks and Wildlife,The Nature Conservancy; City and County of Denver; Jefferson County//
